report_table_number_state,table_2_urban_utility_scale_pv_gwh,table_2_urban_utility_scale_pv_gw,table_2_urban_utility_scale_pv_km2,table_3_rural_utility_scale_pv_gwh,table_3_rural_utility_scale_pv_gw,table_3_rural_utility_scale_pv_km2,table_4_rooftop_pv_gwh,table_4_rooftop_pv_gw,table_5_csp_gwh,table_5_csp_gw,table_5_csp_km2,table_6_onshore_wind_gwh,table_6_onshore_wind_gw,table_6_onshore_wind_km2,table_7_offshore_wind_gwh,table_7_offshore_wind_gw,table_7_offshore_wind_km2,table_8_biopower_solid_gwh,table_8_biopower_solid_gw,table_8_biopower_solid_bdt,table_8_biopower_gaseous_gwh,table_8_biopower_gaseous_gw,table_8_biopower_gaseous_tonnes_ch4,table_9_geothermal_hydrothermal_gwh,table_9_geothermal_hydrothermal_gw,table_10_egs_geothermal_gwh,table_10_egs_geothermal_gw,table_11_hydropower_gwh,table_11_hydropower_gw,table_11_hydropower_count_of_sites,Years
Alabama,35850.62851,20.45317678,426.1078495,3706838.567,2114.79206,44058.16791,15475.96862,12.516076,0,0,0,283.02246,0.1182,23.64,0,0,0,11193.4559,1.419768633,10175869,1533.077443,0.194454267,326186.69,0,0,535489.5034,67.92104305,4102.565755,0.936658848,2435,1980
Alaska,166,0.112,2.3488,8282976.217,9005.192669,187608.1806,,1.291508956,0,0,0,1373433.393,493.3463621,98669.27243,,,,513.4767,0.065128957,466797,61.837571,0.007843426,13156.93,15437.26776,1.95814,,,23675.57193,5.405381719,3053,1975
Arizona,121305.8775,52.61105398,1096.063625,11867693.67,5147.086733,107230.9736,22736.08322,14.87997287,12544333.93,3527.623739,107238.9035,26036.37608,10.9041,2180.82,,,,1087.5755,0.137947171,988705,837.486279,0.106226063,178188.57,8329.529597,1.0564,1239147.717,157.1724654,1303.222021,0.297539274,1958,1978
Arkansas,28960.88134,15.95731577,332.4440786,4986388.554,2747.477737,57239.11953,8484.950618,6.773148769,0,0,0,22892.31747,9.2003,1840.06,,,,14381.444,1.824130391,13074040,1063.036835,0.134834708,226178.05,0,0,628621.6745,79.73385014,6093.400569,1.391187344,3268,1982
California,246008.1079,111.4038072,2320.912651,8855917.175,4010.367374,83549.3203,106411.1512,75.90838285,8490916.159,2725.675782,82859.8809,89862.19991,34.1102,6822.04,2662579.509,654.83335,130966.67,12408.2695,1.573854579,11280245,15510.9917,1.967401281,3300211,130921.0689,16.60549986,1344179.43,170.4946005,30023.57829,6.854698239,9692,2015
Colorado,43470.50144,19.167192,399.3165,10238083.93,4514.218007,94046.20848,16162.17147,11.79666803,9154524.376,3097.836194,94173.4668,1096035.831,387.2194,77443.88,,,,2913.3082,0.369521588,2648462,1224.210175,0.1552778,260470.25,8953.673597,1.1354,1251657.961,158.7592543,7789.128915,1.778339935,5060,1982
Connecticut,7716.647187,4.833023151,100.6879823,19627.7459,12.29307859,256.105804,6616.198688,5.903443373,0,0,0,61.91349,0.0265,5.3,26545.36405,7.1705,1434.1,494.7525,0.062753995,449775,414.667511,0.052596082,88227.13,0,0,56078.43525,7.112942066,922.4578539,0.210606816,659,2003
Delaware,14856.46817,9.11954667,189.9905556,272332.6235,167.1696154,3482.70032,2185.431677,1.875725429,0,0,0,21.719982,0.0095,1.9,60654.02363,15.0384,3007.68,512.3822,0.064990132,465802,385.463732,0.048891899,82013.56,0,0,22813.35483,2.893626944,30.79034044,0.007029758,25,1995
District of Columbia,8.44,0.005379565,0.112074275,0,0,0,2490.190287,2.100237463,0,0,0,0,0,0,,,,61.798,0.007838407,56180,4.59566,0.00058291,977.8,0,0,697.8493764,0.088514634,0.831246702,0.000189782,2,2008
Florida,72787.19262,39.85036523,830.2159423,5137346.842,2812.653444,58596.94675,63986.63886,49.40652456,358.6872,0.1297609,3.9447,0.953088,0.0004,0.08,34684.49029,9.64855,1929.71,9664.4064,1.225825266,8785824,3693.202472,0.468442729,785787.76,0,0,374161.2658,47.45830362,682.1064769,0.155732072,493,2003
Georgia,43166.81756,24.27435776,505.7157866,5492183.4,3088.465453,64343.03026,31116.36917,24.60727578,0,0,0,322.679856,0.1301,26.02,220807.174,58.62875,11725.75,14682.3446,1.862296372,13347586,2220.969678,0.281705946,472546.74,0,0,353206.4669,44.80041437,1988.009884,0.453883535,2100,2001
Hawaii,3725,1.667,34.76,38032.65222,20.67441412,430.7169609,,2.728868966,15369.82293,5.538623244,168.3727996,7786.647846,2.467740711,493.5481422,2836735.434,736.945,147389,524.1049,0.066477029,476459,200.233818,0.025397491,42602.94,20632.05384,2.61726,,,2602.270883,0.594125772,437,2010
